,FileName,Concentration,Probe,Temp,Tip radius_mean,Tip radius_std,ROI,InterphaseThickness,ForceSetpoint,group,Link,Farfieldcontactradius(Schwarz),Point,Z Rate,RelativeInterphaseThickness,Depth,calc_depth,k,a_hat,d_hat,thermal Q,f,k,
113,0.0_NCH_80_50_01,0,NCH,80,300,10,700,0,50,100,#REF!,118.2828458,128,250,0.729022015,,,40,,,,,,
114,0.0_NCH_80_75_01,0,NCH,80,300,10,700,0,75,108,0.0_NCH_80_75_01,140.482676,128,250,0,36.92802811,32.6983823,40,2.351630379,3.025966098,,,,
115,0.0_NCH_80_100_01,0,NCH,80,300,10,700,0,100,100,0.0_NCH_80_100_01,149.2809829,128,250,0,43.22219849,38.90508559,40,2.422025837,3.324804906,,,,
116,0.0_NCH_80_125_01,0,NCH,80,300,10,700,0,125,100,0.0_NCH_80_125_01,157.082169,128,250,0,49.11729813,45.12313414,40,2.490629943,3.626091832,,,,
117,0.0_NCH_80_150_01,0,NCH,80,300,10,700,0,150,100,0.0_NCH_80_150_01,162.0309127,128,250,0,54.31027985,49.7660805,40,2.565725149,3.967236508,,,,
118,2.5_NCH_80_50_01,2.5,NCH,80,300,10,700,50,50,100,2.5_NCH_80_50_01,139.259341,128,250,0.359042342,27.12627792,28.59495624,40,2.191833843,2.386514812,,,,
119,2.5_NCH_80_75_01,2.5,NCH,80,300,10,700,50,75,108,2.5_NCH_80_75_01,156.1402364,128,250,0.320224954,41.91007996,34.50968221,40,2.217001843,2.483635693,,,,
120,2.5_NCH_80_100_01,2.5,NCH,80,300,10,700,50,100,100,2.5_NCH_80_100_01,161.4772683,128,250,0.309641106,46.21856689,38.65016841,40,2.257315587,2.642005045,,,,
121,2.5_NCH_80_125_01,2.5,NCH,80,300,10,700,50,125,100,2.5_NCH_80_125_01,167.199352,128,250,0.299044221,50.99914551,43.19485336,40,2.298783615,2.808504325,,,,
122,2.5_NCH_80_150_01,2.5,NCH,80,300,10,700,50,150,100,2.5_NCH_80_150_01,170.8606052,128,250,0.29263621,54.3233223,46.43792696,40,2.33071302,2.939185933,,,,
123,5.0_NCH_80_50_02,5,NCH,80,300,10,700,150,50,100,5.0_NCH_80_50_02,153.1431041,128,250,0.652984022,41.04449081,34.72447556,40,2.30435916,2.831168609,,,,
124,5.0_NCH_80_75_01,5,NCH,80,300,10,700,150,75,108,5.0_NCH_80_75_01,156.7051559,128,250,0.638141097,45.41573715,39.1029655,40,2.386804325,3.173977073,,,,
125,5.0_NCH_80_100_01,5,NCH,80,300,10,700,150,100,100,5.0_NCH_80_100_01,168.4127791,128,250,0.593779169,54.16101074,47.19137749,40,2.448868741,3.441509687,,,,
